Gene	Accession No.	Species
cad	EU851477	Hoplitis incanescens
cad	EU851470	Hoplitis lebanotica
cad	EU851452	Hoplitis leucomelana
cad	EU851453	Hoplitis mitis
cad	EU851466	Hoplitis mojavensis
cad	EU851475	Hoplitis moricei
cad	EU851474	Hoplitis nasuta
cad	EU851471	Hoplitis paralias
cad	EU851454	Hoplitis pilosifrons
cad	EU851478	Hoplitis platalea
cad	EU851465	Hoplitis robusta
cad	EU851459	Hoplitis sp. CJP-2008
cad	EU851468	Hoplitis tigrina
cad	EU851455	Hoplitis tridentata
cad	EU851473	Hoplitis tuberculata
cad	EU851476	Hoplitis villiersi
cad	EU851460	Hoplitis villosa
cad	EU851480	Hoplitis zuni
cad	EU851483	Hoplosmia pinquis
cad	EU851482	Hoplosmia scutellaris
cad	EU851481	Hoplosmia spinulosa
cad	DQ067144	Hylaeus amiculus
cad	HQ995858	Hypanthidioides marginata
cad	HQ995859	Hypanthidium obscurius
cad	HQ995860	Icteranthidium ferrugineum
cad	DQ067180	Leiopodus singularis
cad	DQ067152	Lipotriches patellifera
cad	DQ067191	Lithurgus apicalis
cad	HQ995837	Lithurgus chrysurus
cad	DQ067195	Lithurgus echinocacti
cad	HQ995838	Lithurgus pullatus
cad	HQ995839	Lithurgus rubricatus
cad	HQ995840	Lithurgus scabrosus
cad	HQ995841	Lithurgus tibialis
cad	DQ067153	Macronomia aureozonata
cad	DQ067154	Macronomia sanguinolenta
cad	DQ067170	Macropis europaea
cad	DQ067171	Macropis nuda
cad	DQ067131	Macrotera latior
cad	DQ067181	Martinapis luteicornis
cad	HQ995871	Megachile (Aethomegachile) sp. CJP-2011
cad	HQ995874	Megachile (Austrochile) sp. CJP-2011
cad	HQ995880	Megachile (Chrysosarus) sp. CJP-2011
cad	HQ995887	Megachile (Hackeriapis) sp. CJP-2011
cad	HQ995888	Megachile (Largella) sp. CJP-2011
cad	HQ995897	Megachile (Rhodomegachile) sp. CJP-2011
cad	HQ995877	Megachile aethiops
cad	HQ995881	Megachile albisecta
cad	HQ995878	Megachile angelarum
cad	HQ995886	Megachile bombiformis
cad	HQ995895	Megachile ericetorum
cad	HQ995893	Megachile fabricator
cad	HQ995872	Megachile fimbriata
cad	HQ995883	Megachile mandibularis
cad	HQ995899	Megachile maritima
cad	HQ995890	Megachile maxillosa
cad	HQ995891	Megachile melanopyga
cad	HQ995896	Megachile microsoma
cad	HQ995892	Megachile nevadensis
cad	HQ995873	Megachile parallela
cad	HQ995876	Megachile parietina
cad	HQ995884	Megachile patellimana
cad	HQ995885	Megachile pilidens
cad	DQ067196	Megachile pugnata
cad	HQ995898	Megachile remeata
cad	HQ995875	Megachile sculpturalis
cad	HQ995894	Megachile sidalceae
cad	HQ995879	Megachile spinotulata
cad	HQ995889	Megachile texana
cad	HQ995882	Megachile zapoteca
cad	DQ067169	Meganomia binghami
cad	DQ067172	Melitta capensis
cad	DQ067173	Melitta eickworti
cad	DQ067174	Melitta leporina
cad	DQ067134	Melitturga clavicornis
cad	DQ067132	Meliturgula haematospila
cad	DQ067133	Meliturgula minima
cad	HQ995842	Microthurge sp. JS-2010
cad	HQ995835	Neofidelia longirostris
