,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
71,Syrphoidea,ALLO-AUS-199,Australasia,Australia,LK,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/04/2017,Bottlebrush,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0758,0.067166,0.008634,4.03,2.475116448,15.336,9.418954306
72,Syrphoidea,ALLO-AUS-200,Australasia,Australia,LK,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/04/2017,Bottlebrush,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0754,0.067166,0.008234,4.306,2.644628146,15.257,9.370434654
73,Syrphoidea,ALLO-AUS-201,Australasia,Australia,LK,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/04/2017,Bottlebrush,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0764,0.067166,0.009234,3.901,2.395888155,14.174,8.705285494
74,Syrphoidea,ALLO-AUS-202,Australasia,Australia,LK,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/04/2017,Bottlebrush,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0774,0.067166,0.010234,4.042,2.482486522,14.38,8.831805094
75,Syrphoidea,ALLO-AUS-203,Australasia,Australia,LK,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/04/2017,Bottlebrush,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0726,0.067166,0.005434,3.693,2.268140209,12.939,7.946782066
76,Syrphoidea,ALLO-AUS-218,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19/02/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Syrphin,NA,Syrphin_syrsp3,Female,0.0703,0.067166,0.003134,2.891,1.775573611,11.186,6.87013712
77,Syrphoidea,ALLO-AUS-219,Australasia,Australia,LK,COFFS,Woolgoolga,-30.11,153.2,0,3/03/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0466,0.038672,0.007928,3.75,2.30314806,15.163,9.312702409
78,Syrphoidea,ALLO-AUS-220,Australasia,Australia,LK,COFFS,Woolgoolga,-30.11,153.2,0,3/03/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0733,0.067166,0.006134,3.167,1.945085308,13.582,8.341695187
79,Syrphoidea,ALLO-AUS-239,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19/02/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Syrphi,NA,Syrphi_syrsp5,Female,0.041,0.038672,0.002328,2.754,1.691431935,11.316,6.949979586
80,Syrphoidea,ALLO-AUS-265,Australasia,Australia,LK,COFFS,COFFS_B910,-30.01,153.15,0,21/09/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0456,0.038672,0.006928,4.184,2.569699062,16.059,9.863001252
81,Syrphoidea,ALLO-AUS-271,Australasia,Australia,LK,COFFS,COFFS_ B81,-29.99,153.14,0,14/09/2018,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0427,0.038672,0.004028,3.522,2.163116658,14.333,8.802938972
82,Syrphoidea,ALLO-AUS-279,Australasia,Australia,LK,COFFS,COFFS_FST,-30,153.1,0,14/09/2017,Pultanea,Hand,Syrphidae,Eristalinae,Eristalini,Trichopsomyia,NA,Trichopsomyia_trisp1,Male,0.0407,0.038672,0.002028,2.28,1.40031402,8.531,5.239508293
83,Syrphoidea,ALLO-AUS-309,Australasia,Australia,LK,KATHE,FoxaliciousREF149,-14.52,132.45,0,11/06/2017,Mango,Hand,Syrphidae,Eristalinae,Eristalini,Mesembrius,NA,Mesembrius_messp1,Male,0.0549,0.038672,0.016228,5.182,3.182643533,20.756,12.74777097
